rank,view,model,max_depth,min_samples_split,min_samples_leaf,n_estimators,max_samples,valid_pr_auc,valid_roc_auc,valid_accuracy_at_0_5,valid_precision_at_0_5,valid_recall_at_0_5,valid_f1_at_0_5,valid_positive_predictions
1,A,Bagging_DT_A,10,20,5,100,1.0,0.1882207081316351,0.7599995260817364,0.9655084826484066,0.6666666666666666,0.028433151845130067,0.054540179866550624,141
2,A,Bagging_DT_A,10,20,5,100,0.8,0.18802738083409562,0.7594897637270975,0.965497899181898,0.6619718309859155,0.028433151845130067,0.054524361948955914,142
3,A,Bagging_DT_A,10,20,5,50,0.8,0.18770389084262096,0.7565660519549366,0.9655084826484066,0.6666666666666666,0.028433151845130067,0.054540179866550624,141
4,A,Bagging_DT_A,8,10,4,100,1.0,0.1743160157305226,0.7431315522990034,0.9652862298517256,0.6326530612244898,0.018753781004234724,0.036427732079905996,98
5,A,Bagging_DT_A,8,10,4,100,0.8,0.17316459156534797,0.7438986009180479,0.9653391471842687,0.6565656565656566,0.019661222020568664,0.0381791483113069,99
6,A,Bagging_DT_A,8,10,4,50,0.8,0.17239864911920377,0.7417679326096324,0.9653179802512515,0.6494845360824743,0.019056261343012703,0.03702615339406406,97
7,A,Bagging_DT_A,6,5,2,100,1.0,0.15628706657901664,0.7334596106891836,0.9650745605215533,1.0,0.0018148820326678765,0.0036231884057971015,6
8,A,Bagging_DT_A,6,5,2,100,0.8,0.1559405325594208,0.7334119352284107,0.9650745605215533,1.0,0.0018148820326678765,0.0036231884057971015,6
9,A,Bagging_DT_A,6,5,2,50,0.8,0.1545051242328823,0.7291044026940345,0.9650745605215533,1.0,0.0018148820326678765,0.0036231884057971015,6
10,A,Bagging_DT_A,4,10,4,100,1.0,0.13099556396064377,0.7209123227791675,0.9650110597225016,0.0,0.0,0.0,0
11,A,Bagging_DT_A,4,10,4,100,0.8,0.12936663725000733,0.7169939532395206,0.9650110597225016,0.0,0.0,0.0,0
12,A,Bagging_DT_A,4,10,4,50,0.8,0.12908241808613735,0.7170496998408191,0.9650110597225016,0.0,0.0,0.0,0
