rank,view,model,max_depth,min_samples_split,min_samples_leaf,n_estimators,max_samples,valid_pr_auc,valid_roc_auc,valid_accuracy_at_0_5,valid_precision_at_0_5,valid_recall_at_0_5,valid_f1_at_0_5,valid_positive_predictions
1,B,Bagging_DT_B,10,20,5,100,1.0,0.2121563410529854,0.7785947106674596,0.9655931503804757,0.8395061728395061,0.0205686630369026,0.040153528196043696,81
2,B,Bagging_DT_B,10,20,5,100,0.8,0.21010230216501743,0.7795112694518717,0.965529649581424,0.8450704225352113,0.018148820326678767,0.035534498075214686,71
3,B,Bagging_DT_B,10,20,5,50,0.8,0.20963483374211764,0.7782384210664981,0.9655613999809498,0.8421052631578947,0.019358741681790685,0.03784742755765819,76
4,B,Bagging_DT_B,8,10,4,100,1.0,0.17984402014757037,0.7564950736883187,0.9654343983828463,0.8571428571428571,0.014519056261343012,0.028554431885782272,56
5,B,Bagging_DT_B,8,10,4,100,0.8,0.17878168881146356,0.7569707733750929,0.9654026479833204,0.8627450980392157,0.013309134906231096,0.026213881441763478,51
6,B,Bagging_DT_B,8,10,4,50,0.8,0.1777646516383669,0.7564033270800405,0.9654449818493549,0.8727272727272727,0.014519056261343012,0.02856292770008926,55
7,B,Bagging_DT_B,6,5,2,50,0.8,0.15054148068763115,0.7339107071644055,0.9651909786531481,0.7741935483870968,0.007259528130671506,0.01438417740485466,31
8,B,Bagging_DT_B,6,5,2,100,1.0,0.15051436158583903,0.7354215994588137,0.9652650629187084,0.9285714285714286,0.007864488808227465,0.015596880623875225,28
9,B,Bagging_DT_B,6,5,2,100,0.8,0.1501786396245951,0.7353054022376122,0.9652438959856912,0.84375,0.008166969147005444,0.016177351707609346,32
10,B,Bagging_DT_B,4,10,4,100,0.8,0.11738926641583558,0.7111703848417332,0.9651274778540964,0.6774193548387096,0.006352087114337568,0.012586155229247827,31
11,B,Bagging_DT_B,4,10,4,50,0.8,0.11637740208506792,0.7076972499995404,0.965138061320605,0.7,0.006352087114337568,0.012589928057553957,30
12,B,Bagging_DT_B,4,10,4,100,1.0,0.11605787551249776,0.7081377508221368,0.9651274778540964,0.6774193548387096,0.006352087114337568,0.012586155229247827,31
