rank,view,model,max_depth,min_samples_split,min_samples_leaf,n_estimators,max_samples,valid_pr_auc,valid_roc_auc,valid_accuracy_at_0_5,valid_precision_at_0_5,valid_recall_at_0_5,valid_f1_at_0_5,valid_positive_predictions
1,T,Bagging_DT_T,8,10,4,150,1.0,0.062399430606013565,0.6068442687799799,0.9650110597225016,0.0,0.0,0.0,0
2,T,Bagging_DT_T,8,10,4,100,0.8,0.062260067781407975,0.6071893871660957,0.9650110597225016,0.0,0.0,0.0,0
3,T,Bagging_DT_T,8,10,4,50,0.8,0.06224739811316977,0.6062126215878507,0.9650110597225016,0.0,0.0,0.0,0
4,T,Bagging_DT_T,6,5,2,150,1.0,0.057530680389068896,0.5961342252364918,0.9650110597225016,0.0,0.0,0.0,0
5,T,Bagging_DT_T,6,5,2,100,0.8,0.05709418453261708,0.5958397413976056,0.9650110597225016,0.0,0.0,0.0,0
6,T,Bagging_DT_T,6,5,2,50,0.8,0.05707354356148935,0.5953162401903216,0.9650110597225016,0.0,0.0,0.0,0
7,T,Bagging_DT_T,4,10,4,100,0.8,0.05172000665579194,0.5843060533892311,0.9650110597225016,0.0,0.0,0.0,0
8,T,Bagging_DT_T,4,10,4,150,1.0,0.05115800186105158,0.5841804813044355,0.9650110597225016,0.0,0.0,0.0,0
9,T,Bagging_DT_T,4,10,4,50,0.8,0.050702362509217704,0.5832942796950944,0.9650110597225016,0.0,0.0,0.0,0
10,T,Bagging_DT_T,3,10,4,100,0.8,0.04896023741127917,0.5786004288034742,0.9650110597225016,0.0,0.0,0.0,0
11,T,Bagging_DT_T,3,10,4,150,1.0,0.047482651811468476,0.577512410531341,0.9650110597225016,0.0,0.0,0.0,0
12,T,Bagging_DT_T,3,10,4,50,0.8,0.04687295976348074,0.5767978790621764,0.9650110597225016,0.0,0.0,0.0,0
13,T,Bagging_DT_T,2,10,4,100,0.8,0.04524172432290967,0.5649079412611784,0.9650110597225016,0.0,0.0,0.0,0
14,T,Bagging_DT_T,2,10,4,150,1.0,0.04524163381776862,0.5648807737291881,0.9650110597225016,0.0,0.0,0.0,0
15,T,Bagging_DT_T,2,10,4,50,0.8,0.04438529393251774,0.5647819346020265,0.9650110597225016,0.0,0.0,0.0,0
