rank,view,model,max_depth,min_samples_split,min_samples_leaf,n_estimators,max_samples,valid_pr_auc,valid_roc_auc,valid_accuracy_at_0_5,valid_precision_at_0_5,valid_recall_at_0_5,valid_f1_at_0_5,valid_positive_predictions
1,I,Bagging_DT_I,2,10,4,50,0.8,0.03498894027749849,0.5,0.9650110597225016,0.0,0.0,0.0,0
2,I,Bagging_DT_I,2,10,4,100,0.8,0.03498894027749849,0.5,0.9650110597225016,0.0,0.0,0.0,0
3,I,Bagging_DT_I,2,10,4,100,1.0,0.03498894027749849,0.5,0.9650110597225016,0.0,0.0,0.0,0
4,I,Bagging_DT_I,4,10,4,50,0.8,0.03498894027749849,0.5,0.9650110597225016,0.0,0.0,0.0,0
5,I,Bagging_DT_I,4,10,4,100,0.8,0.03498894027749849,0.5,0.9650110597225016,0.0,0.0,0.0,0
6,I,Bagging_DT_I,4,10,4,100,1.0,0.03498894027749849,0.5,0.9650110597225016,0.0,0.0,0.0,0
7,I,Bagging_DT_I,6,5,2,50,0.8,0.03498894027749849,0.5,0.9650110597225016,0.0,0.0,0.0,0
8,I,Bagging_DT_I,6,5,2,100,0.8,0.03498894027749849,0.5,0.9650110597225016,0.0,0.0,0.0,0
9,I,Bagging_DT_I,6,5,2,100,1.0,0.03498894027749849,0.5,0.9650110597225016,0.0,0.0,0.0,0
10,I,Bagging_DT_I,8,10,4,50,0.8,0.03498894027749849,0.5,0.9650110597225016,0.0,0.0,0.0,0
11,I,Bagging_DT_I,8,10,4,100,0.8,0.03498894027749849,0.5,0.9650110597225016,0.0,0.0,0.0,0
12,I,Bagging_DT_I,8,10,4,100,1.0,0.03498894027749849,0.5,0.9650110597225016,0.0,0.0,0.0,0
13,I,Bagging_DT_I,10,20,5,50,0.8,0.03498894027749849,0.5,0.9650110597225016,0.0,0.0,0.0,0
14,I,Bagging_DT_I,10,20,5,100,0.8,0.03498894027749849,0.5,0.9650110597225016,0.0,0.0,0.0,0
15,I,Bagging_DT_I,10,20,5,100,1.0,0.03498894027749849,0.5,0.9650110597225016,0.0,0.0,0.0,0
