experiment_key,display_name,component_views,split,unbalanced_pr_auc,balanced_pr_auc,delta_pr_auc,unbalanced_roc_auc,balanced_roc_auc,delta_roc_auc,unbalanced_accuracy,balanced_accuracy,delta_accuracy,unbalanced_precision,balanced_precision,delta_precision,unbalanced_recall,balanced_recall,delta_recall,unbalanced_f1,balanced_f1,delta_f1,unbalanced_fpr,balanced_fpr,delta_fpr
A,A,A,valid,0.1882207081316351,0.1882207081316351,0.0,0.7599995260817364,0.7599995260817364,0.0,0.9655084826484066,0.961370347243536,-0.004138135404870624,0.6666666666666666,0.3564273789649416,-0.31023928770172504,0.02843315184513,0.1291591046581972,0.10072595281306719,0.0545401798665506,0.1896092362344582,0.1350690563679076,,0.0084557089744573,
A,A,A,test,0.1887511659325241,0.1887511659325241,0.0,0.762129296313246,0.762129296313246,0.0,0.9655061469163816,0.9616283401632404,-0.0038778067531411997,0.6612021857923497,0.3615544760582928,-0.2996477097340569,0.0292765545608516,0.1260585531091217,0.0967819985482701,0.0560704355885078,0.1869393613204162,0.1308689257319084,,0.0080719456021057,
B,B,B,valid,0.2121563410529854,0.2121563410529854,0.0,0.7785947106674596,0.7785947106674596,0.0,0.9655931503804756,0.964439552531036,-0.0011535978494395804,0.8395061728395061,0.4673913043478261,-0.37211486849168,0.0205686630369026,0.117059891107078,0.0964912280701754,0.0401535281960436,0.1872278664731494,0.1470743382771058,,0.0048365339270242,
B,B,B,test,0.2108632044861735,0.2108632044861735,0.0,0.7763486279071286,0.7763486279071286,0.0,0.9657093507637078,0.9641768550817896,-0.0015324956819181557,0.832,0.4491701244813278,-0.38282987551867215,0.0251633196225502,0.1047665134285023,0.0796031938059521,0.0488492249882573,0.1699038650186384,0.1210546400303811,,0.0046589164290414,
T,T,T,valid,0.0623994306060135,0.0623994306060135,0.0,0.6068442687799799,0.6068442687799799,0.0,0.9650110597225016,0.9648734746578894,-0.0001375850646121446,0.0,0.3243243243243243,0.3243243243243243,0.0,0.0036297640653357,0.0036297640653357,0.0,0.0071791803769069,0.0071791803769069,,0.0002741799278358,
T,T,T,test,0.0658646011423807,0.0658646011423807,0.0,0.6132483676263897,0.6132483676263897,0.0,0.965006604125038,0.96501507095201,8.46682697197565e-06,0.0,0.5128205128205128,0.5128205128205128,0.0,0.0048390999274135,0.0048390999274135,0.0,0.009587727708533,0.009587727708533,,0.0001667032243913,
I,I,I,valid,0.0349889402774984,0.0349889402774984,0.0,0.5,0.5,0.0,0.9650110597225016,0.9650110597225016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
I,I,I,test,0.0349933958749619,0.0349933958749619,0.0,0.5,0.5,0.0,0.965006604125038,0.965006604125038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
AB,A+B,A+B,valid,0.2272471369131823,0.2272471369131823,0.0,0.7896248032962206,0.7896248032962206,0.0,0.965497899181898,0.9641220485357774,-0.0013758506461205577,0.9107142857142856,0.4530201342281879,-0.4576941514860977,0.0154264972776769,0.1225045372050816,0.1070780399274047,0.0303390838786436,0.1928571428571428,0.16251805897849922,,0.005362959388469,
AB,A+B,A+B,test,0.2272161830581054,0.2272161830581054,0.0,0.7897043876752721,0.7897043876752721,0.0,0.9655061469163816,0.9641006536390422,-0.001405493277339409,0.8933333333333333,0.4521038495971352,-0.44122948373619814,0.0162109847568352,0.1221872731671909,0.1059762884103557,0.0318441064638783,0.1923809523809523,0.16053684591707398,,0.0053695985961833,
IT,I+T,I+T,valid,0.0623994306060135,0.0623994306060135,0.0,0.6068442687799799,0.6068442687799799,0.0,0.9650110597225016,0.9650110597225016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
IT,I+T,I+T,test,0.0658646011423807,0.0658646011423807,0.0,0.6132483676263897,0.6132483676263897,0.0,0.965006604125038,0.965006604125038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
TBI,T+B+I,T+B+I,valid,0.2236845985252261,0.2236845985252261,0.0,0.7771884761522809,0.7771884761522809,0.0,0.9650110597225016,0.9654449818493548,0.0004339221268532256,0.0,0.9555555555555556,0.9555555555555556,0.0,0.0130066545674531,0.0130066545674531,0.0,0.0256639809012235,0.0256639809012235,,2.193439422686744e-05,
TBI,T+B+I,T+B+I,test,0.224412748647858,0.224412748647858,0.0,0.7791499763803309,0.7791499763803309,0.0,0.965006604125038,0.9654892132624378,0.00048260913739972544,0.0,0.9253731343283582,0.9253731343283582,0.0,0.0150012097749818,0.0150012097749818,0.0,0.0295238095238095,0.0295238095238095,,4.386926957666155e-05,
ABI,A+B+I,A+B+I,valid,0.2272471369131823,0.2272471369131823,0.0,0.7896248032962206,0.7896248032962206,0.0,0.965190978653148,0.9659953221078031,0.0008043434546551875,1.0,0.7268292682926829,-0.2731707317073171,0.0051421657592256,0.0450695704779189,0.0399274047186933,0.0102317183268131,0.0848761036741669,0.07464438534735379,,0.0006141630383522,
ABI,A+B+I,A+B+I,test,0.2272161830581054,0.2272161830581054,0.0,0.7897043876752721,0.7897043876752721,0.0,0.96523520845328,0.966132692112304,0.0008974836590239788,1.0,0.7152103559870551,-0.28478964401294493,0.0065327849020082,0.0534720541979191,0.046939269295910906,0.0129807692307692,0.0995047276001801,0.0865239583694109,,0.0007720991445492,
ATB,A+T+B,A+T+B,valid,0.236370156116941,0.236370156116941,0.0,0.7922332778159616,0.7922332778159616,0.0,0.965190978653148,0.9660164890408204,0.0008255103876724235,1.0,0.7317073170731707,-0.2682926829268293,0.0051421657592256,0.0453720508166969,0.0402298850574713,0.0102317183268131,0.0854457419538593,0.0752140236270462,,0.0006031958412388,
ATB,A+T+B,A+T+B,test,0.237263000983724,0.237263000983724,0.0,0.7951134081120574,0.7951134081120574,0.0,0.9652267416263082,0.966149625766248,0.0009228841399397947,1.0,0.7115987460815048,-0.28840125391849525,0.0062908299056375,0.0549237841761432,0.0486329542705057,0.0125030055301755,0.1019766397124887,0.0894736341823132,,0.0008071945602105,
ATBI,A+T+B+I,A+T+B+I,valid,0.236370156116941,0.236370156116941,0.0,0.7922332778159616,0.7922332778159616,0.0,0.9650110597225016,0.9657413189115964,0.0007302591890948618,0.0,0.9367088607594936,0.9367088607594936,0.0,0.0223835450695704,0.0223835450695704,0.0,0.0437223042836041,0.0437223042836041,,5.48359855671686e-05,
ATBI,A+T+B+I,A+T+B+I,test,0.237263000983724,0.237263000983724,0.0,0.7951134081120574,0.7951134081120574,0.0,0.965006604125038,0.9657432180715956,0.0007366139465575516,0.0,0.9065420560747663,0.9065420560747663,0.0,0.0234696346479554,0.0234696346479554,0.0,0.045754716981132,0.045754716981132,,8.77385391533231e-05,
