split,view,model,threshold,max_depth,min_samples_split,min_samples_leaf,n_estimators,max_samples,pr_auc,roc_auc,accuracy,precision,recall,f1,positive_predictions,total_rows,positive_rate_predicted,fpr,threshold_label,variant,method,tn,fp,fn,tp,fnr,tpr,tnr,experiment_key,display_name,component_views_standardized,combination_type,component_views,A_max_depth,A_min_samples_split,A_min_samples_leaf,A_n_estimators,A_max_samples,B_max_depth,B_min_samples_split,B_min_samples_leaf,B_n_estimators,B_max_samples,I_max_depth,I_min_samples_split,I_min_samples_leaf,I_n_estimators,I_max_samples,T_max_depth,T_min_samples_split,T_min_samples_leaf,T_n_estimators,T_max_samples,chosen_variant_from_valid
test,A,Bagging_DT_A_best_balanced,0.25,10.0,20.0,5.0,100.0,1.0,0.1887511659325241,0.762129296313246,0.9616283401632404,0.3615544760582928,0.1260585531091217,0.1869393613204162,1441,118108,0.0122006976665424,0.0080719456021057,,balanced,baseline,113055.0,920.0,3612.0,521.0,0.8739414468908783,0.1260585531091217,0.9919280543978942,A,A,A,,,,,,,,,,,,,,,,,,,,,,,balanced
valid,A,Bagging_DT_A_best_balanced,0.25,10.0,20.0,5.0,100.0,1.0,0.1882207081316351,0.7599995260817364,0.961370347243536,0.3564273789649416,0.1291591046581972,0.1896092362344582,1198,94487,0.012678992877327,0.0084557089744573,,balanced,baseline,90410.0,771.0,2879.0,427.0,0.8708408953418028,0.1291591046581972,0.9915442910255426,A,A,A,,,,,,,,,,,,,,,,,,,,,,,balanced
test,B,Bagging_DT_B_best_balanced,0.25,10.0,20.0,5.0,100.0,1.0,0.2108632044861735,0.7763486279071286,0.9641768550817896,0.4491701244813278,0.1047665134285023,0.1699038650186384,964,118108,0.0081620212009347,0.0046589164290414,,balanced,baseline,113444.0,531.0,3700.0,433.0,0.8952334865714977,0.1047665134285023,0.9953410835709584,B,B,B,,,,,,,,,,,,,,,,,,,,,,,balanced
valid,B,Bagging_DT_B_best_balanced,0.25,10.0,20.0,5.0,100.0,1.0,0.2121563410529854,0.7785947106674596,0.964439552531036,0.4673913043478261,0.117059891107078,0.1872278664731494,828,94487,0.0087631102691375,0.0048365339270242,,balanced,baseline,90740.0,441.0,2919.0,387.0,0.882940108892922,0.117059891107078,0.9951634660729756,B,B,B,,,,,,,,,,,,,,,,,,,,,,,balanced
test,T,Bagging_DT_T_best_balanced,0.25,8.0,10.0,4.0,150.0,1.0,0.0658646011423807,0.6132483676263897,0.96501507095201,0.5128205128205128,0.0048390999274135,0.009587727708533,39,118108,0.000330206251905,0.0001667032243913,,balanced,baseline,113956.0,19.0,4113.0,20.0,0.9951609000725864,0.0048390999274135,0.9998332967756088,T,T,T,,,,,,,,,,,,,,,,,,,,,,,balanced
valid,T,Bagging_DT_T_best_balanced,0.25,8.0,10.0,4.0,150.0,1.0,0.0623994306060135,0.6068442687799799,0.9648734746578894,0.3243243243243243,0.0036297640653357,0.0071791803769069,37,94487,0.0003915882608189,0.0002741799278358,,balanced,baseline,91156.0,25.0,3294.0,12.0,0.9963702359346642,0.0036297640653357,0.9997258200721642,T,T,T,,,,,,,,,,,,,,,,,,,,,,,balanced
test,I,Bagging_DT_I_best_balanced,0.25,2.0,10.0,4.0,50.0,0.8,0.0349933958749619,0.5,0.965006604125038,0.0,0.0,0.0,0,118108,0.0,0.0,,balanced,baseline,113975.0,0.0,4133.0,0.0,1.0,0.0,1.0,I,I,I,,,,,,,,,,,,,,,,,,,,,,,balanced
valid,I,Bagging_DT_I_best_balanced,0.25,2.0,10.0,4.0,50.0,0.8,0.0349889402774984,0.5,0.9650110597225016,0.0,0.0,0.0,0,94487,0.0,0.0,,balanced,baseline,91181.0,0.0,3306.0,0.0,1.0,0.0,1.0,I,I,I,,,,,,,,,,,,,,,,,,,,,,,balanced
test,AB,SoftVoting_Bagging_DT_AB_best_balanced,0.25,,,,,,0.2272161830581054,0.7897043876752721,0.9641006536390422,0.4521038495971352,0.1221872731671909,0.1923809523809523,1117,118108,0.0094574457276391,0.0053695985961833,,balanced,baseline,113363.0,612.0,3628.0,505.0,0.8778127268328091,0.1221872731671909,0.9946304014038166,AB,A+B,A+B,multiview_soft_voting,A+B,10.0,20.0,5.0,100.0,1.0,10.0,20.0,5.0,100.0,1.0,,,,,,,,,,,balanced
valid,AB,SoftVoting_Bagging_DT_AB_best_balanced,0.25,,,,,,0.2272471369131823,0.7896248032962206,0.9641220485357774,0.4530201342281879,0.1225045372050816,0.1928571428571428,894,94487,0.0094616190587064,0.005362959388469,,balanced,baseline,90692.0,489.0,2901.0,405.0,0.8774954627949183,0.1225045372050816,0.9946370406115308,AB,A+B,A+B,multiview_soft_voting,A+B,10.0,20.0,5.0,100.0,1.0,10.0,20.0,5.0,100.0,1.0,,,,,,,,,,,balanced
